iter	Passed	Remaining
401	16112	23967
402	16153	23929
403	16193	23889
404	16233	23849
405	16272	23807
406	16311	23765
407	16351	23726
408	16391	23686
409	16432	23646
410	16470	23604
411	16510	23563
412	16552	23526
413	16593	23487
414	16636	23450
415	16675	23409
416	16713	23367
417	16755	23328
418	16799	23294
419	16841	23256
420	16879	23214
421	16918	23172
422	16958	23132
423	17000	23094
424	17041	23055
425	17084	23020
426	17128	22984
427	17167	22943
428	17205	22901
429	17245	22859
430	17284	22818
431	17322	22776
432	17360	22733
433	17399	22691
434	17436	22647
435	17476	22606
436	17514	22564
437	17553	22522
438	17591	22480
439	17629	22437
440	17669	22397
441	17708	22355
442	17748	22315
443	17788	22275
444	17828	22235
445	17867	22194
446	17907	22154
447	17947	22114
448	17989	22076
449	18031	22038
450	18073	22000
451	18123	21972
452	18161	21930
453	18208	21898
454	18245	21854
455	18289	21819
456	18333	21783
457	18373	21743
458	18413	21703
459	18451	21660
460	18489	21617
461	18528	21576
462	18565	21532
463	18606	21494
464	18644	21451
465	18682	21409
466	18732	21379
467	18773	21340
468	18813	21300
469	18853	21260
470	18893	21220
471	18934	21180
472	18975	21141
473	19016	21102
474	19067	21074
475	19108	21035
476	19149	20996
477	19191	20958
478	19232	20919
479	19272	20878
480	19312	20838
481	19349	20795
482	19387	20752
483	19427	20711
484	19465	20669
485	19505	20629
486	19545	20588
487	19582	20545
488	19621	20504
489	19670	20473
490	19709	20432
491	19748	20390
492	19786	20348
493	19825	20307
494	19863	20264
495	19904	20225
496	19945	20186
497	19987	20147
498	20027	20107
499	20066	20066
500	20106	20025
501	20145	19984
502	20183	19942
503	20222	19901
504	20262	19860
505	20299	19818
506	20340	19778
507	20378	19736
508	20415	19693
509	20460	19657
510	20498	19616
511	20536	19574
512	20576	19533
513	20614	19491
514	20653	19450
515	20693	19409
516	20737	19374
517	20779	19334
518	20816	19292
519	20855	19250
520	20893	19209
521	20931	19167
522	20973	19128
523	21012	19087
524	21051	19046
525	21090	19005
526	21131	18965
527	21176	18930
528	21222	18895
529	21264	18857
530	21303	18816
531	21341	18774
532	21381	18734
533	21421	18693
534	21467	18658
535	21506	18617
536	21550	18581
537	21594	18543
538	21632	18502
539	21677	18466
540	21718	18426
541	21756	18384
542	21794	18342
543	21832	18301
544	21873	18261
545	21913	18220
546	21952	18180
547	21992	18140
548	22032	18099
549	22076	18062
550	22118	18024
551	22159	17984
552	22200	17945
553	22239	17904
554	22280	17864
555	22323	17826
556	22363	17786
557	22402	17745
558	22441	17704
559	22481	17664
560	22522	17624
561	22561	17583
562	22602	17543
563	22641	17503
564	22684	17465
565	22725	17425
566	22779	17395
567	22817	17354
568	22857	17313
569	22897	17273
570	22936	17232
571	22977	17193
572	23017	17152
573	23056	17111
574	23098	17072
575	23140	17033
576	23182	16995
577	23223	16955
578	23264	16915
579	23307	16878
580	23354	16842
581	23394	16802
582	23436	16763
583	23476	16722
584	23515	16681
585	23554	16641
586	23594	16600
587	23633	16559
588	23675	16520
589	23715	16480
590	23756	16440
591	23796	16399
592	23833	16358
593	23873	16317
594	23914	16277
595	23954	16237
596	23993	16196
597	24032	16155
598	24072	16115
599	24110	16073
600	24149	16032
601	24191	15993
602	24233	15954
603	24275	15916
604	24317	15876
605	24360	15838
606	24400	15798
607	24446	15761
608	24488	15722
609	24528	15681
610	24570	15643
611	24610	15602
612	24651	15563
613	24692	15523
614	24731	15482
615	24771	15441
616	24810	15401
617	24849	15360
618	24889	15319
619	24927	15278
620	24966	15236
621	25006	15196
622	25043	15154
623	25082	15113
624	25122	15073
625	25162	15033
626	25205	14994
627	25245	14954
628	25288	14915
629	25327	14874
630	25368	14835
631	25410	14796
632	25450	14755
633	25493	14717
634	25533	14676
635	25574	14636
636	25612	14595
637	25659	14559
638	25701	14519
639	25740	14479
640	25781	14439
641	25821	14398
