iter	RMSE
136	884402.2582
137	881216.094
138	879776.3615
139	878992.2353
140	877456.2138
141	876822.0974
142	875884.0118
143	874319.3062
144	872436.3924
145	871570.5524
146	869620.3756
147	868370.2173
148	867595.8834
149	866459.4883
150	865397.3583
151	864078.3227
152	862867.9664
153	861577.8
154	858970.5373
155	857496.0118
156	856703.0896
157	855761.8207
158	854951.0178
159	854733.4107
160	852713.2565
161	851218.2304
162	850211.4004
163	849832.7527
164	848851.4779
165	847559.6019
166	846573.8399
167	846342.9981
168	845422.7909
169	844383.3161
170	843722.8361
171	841874.4951
172	838810.6948
173	837756.6467
174	837299.7076
175	834843.5979
176	831504.5691
177	830291.4624
178	829533.3907
179	828677.6517
180	827028.2852
181	826526.2123
182	825824.0553
183	824890.5629
184	823500.7815
185	821791.4102
186	821453.7861
187	820990.576
188	820022.8246
189	818498.0625
190	818336.8289
191	817609.9483
192	817254.4161
193	815158.2155
194	814689.7928
195	814189.323
196	813988.0332
197	813669.9417
198	812560.2937
199	810402.493
200	809122.5731
201	808821.9361
202	807720.164
203	806767.4393
204	806194.0782
205	805482.7614
206	804421.7516
207	802783.9641
208	800605.3211
209	799507.4207
210	799242.091
211	798315.0659
212	797640.7836
213	797338.6035
214	796124.904
215	795386.3153
216	795294.5768
217	793809.8144
218	793146.9329
219	792143.2234
220	791372.0047
221	789664.0685
222	789410.0327
223	789207.9525
224	788993.0804
225	788297.3009
226	787682.8123
227	787023.4772
228	786089.8561
229	785080.2242
230	783805.8893
231	782255.2892
232	779438.2503
233	778638.9874
234	777383.2522
235	776877.9444
236	776400.1833
237	775368.2757
238	772563.7984
239	771139.2924
240	770515.6877
241	768956.7168
242	768091.5823
243	767293.4252
244	767111.1317
245	766829.0513
246	765826.2907
247	763469.8867
248	762982.5895
249	762535.317
250	761370.6108
251	760764.0547
252	759394.2245
253	758468.8395
254	757949.8701
255	755976.3652
256	754148.5655
257	753966.974
258	753715.3187
259	752866.5558
260	752715.129
261	751695.8299
262	751055.3643
263	750877.4177
264	750155.1536
265	749263.4154
266	748262.2582
267	747682.9275
268	746742.5727
269	746642.3209
270	744920.924
271	744006.1931
272	743256.7982
273	742303.906
274	741229.7509
275	739820.5817
276	738659.4921
277	737444.6226
278	736504.1549
279	736428.0482
280	735842.9254
281	734955.0075
282	732135.2376
283	732026.1227
284	731002.4566
285	730634.4608
286	729725.4819
287	729588.9005
288	729221.3913
289	728713.8847
290	727287.5158
291	726983.7228
292	726332.3582
293	725137.2791
294	723908.129
295	723041.0949
296	722839.3525
297	722800.0313
298	721813.8376
299	720550.8878
300	719703.7232
301	719198.5047
302	718205.4704
303	718158.6928
304	717424.3636
305	717340.5642
306	716753.5117
307	716380.5083
308	715233.3673
309	714565.2424
310	713106.9797
311	712327.8963
312	711836.7587
313	710283.6382
314	709919.9387
315	708162.0472
316	707192.7
317	706305.1235
318	705219.5697
319	704613.7144
320	703217.1785
321	702256.2901
322	700348.0099
323	699353.3901
324	699019.6682
325	698332.2993
326	697668.002
327	696411.7971
328	696357.2221
329	694316.647
330	694271.0536
331	694161.2254
332	693604.1365
333	692920.0421
334	692830.1387
335	692211.8963
336	691901.3683
337	691801.8235
338	691746.8024
339	690917.285
340	690163.0064
341	689763.363
342	689173.0322
343	688305.2423
344	688257.5701
345	687805.8748
346	687512.1302
347	687432.3759
348	686359.8361
349	685988.6066
350	685399.7541
351	684896.401
352	684284.9507
353	683918.3052
354	683875.0093
355	683413.4698
356	682745.7857
357	682703.3983
358	681800.6903
359	681306.9834
360	679520.7808
361	678931.366
362	678891.1222
363	678750.8633
364	678156.5981
365	677279.9112
366	675952.8956
367	675477.0459
368	675327.2475
369	674528.5958
370	673903.1021
371	673226.0731
372	672981.2041
373	672884.5353
374	672225.0744
375	672185.1759
376	671587.1798
377	670162.365
378	669452.549
379	668218.8848
380	667764.5313
381	666929.5247
382	665680.0471
383	664938.518
384	664160.6265
385	663457.139
386	663385.4181
387	663003.2956
388	662263.052
389	662211.0623
390	661876.0483
391	661849.9779
392	660999.0529
393	660390.1338
394	659847.3232
395	659595.2695
396	658918.7093
397	657941.8198
398	657176.421
399	657155.5154
400	655549.6281
401	655007.2709
402	654070.2268
403	654007.8957
404	653984.4321
405	653470.7199
406	653110.9351
407	652290.7618
408	651600.9772
409	651292.1438
410	650277.4637
411	650075.6666
412	649522.2771
413	647902.7751
414	647596.5888
415	647575.975
416	647087.4349
417	646661.5988
418	645998.1672
419	645484.374
420	645141.4928
421	644133.0535
422	642528.916
423	642008.8554
424	641561.8973
425	641358.02
426	640588.3276
427	640534.514
428	640324.982
429	639886.8366
430	639286.8182
431	639064.6386
432	639019.5023
433	638979.9042
434	638458.2825
435	637629.8917
436	636026.129
437	635229.6068
438	634479.2207
439	634446.83
440	633577.3171
441	633332.1794
442	632747.9119
443	632149.6727
444	631310.5937
445	630840.9874
446	630279.9374
447	629771.6466
448	629735.0012
449	629261.0757
450	628633.4598
451	628596.6435
452	627439.6991
453	626533.3949
454	626492.8726
455	625739.0408
456	624599.6174
457	623926.9066
458	622095.4689
459	621842.0174
460	621812.0941
461	621779.3764
462	621504.3646
463	621462.7518
464	620968.5388
465	620896.2711
466	620144.6617
467	619864.5947
468	619268.6034
469	618992.8417
470	617801.0327
471	617315.8115
472	617079.8498
473	616137.0193
474	615180.5186
475	614865.0435
476	614075.4347
477	612996.9001
478	612339.3548
479	611939.8045
480	611886.9271
481	611812.4119
482	610459.5243
483	610284.9489
484	610079.5329
485	609561.642
486	608898.4391
487	608637.4723
488	608577.9049
489	608548.6398
490	608311.8546
491	607421.6143
492	606995.8921
493	606976.4723
494	606628.0019
495	606138.2309
496	604862.8909
497	604314.1526
498	602976.866
499	602702.4614
500	602331.2671
501	602274.6798
502	600782.3386
503	599800.2781
504	599032.3094
505	598745.6073
506	598733.5659
507	597884.8629
508	597475.1389
509	597284.7638
510	596263.412
511	595486.6611
512	595282.9114
513	595026.7842
514	594986.5644
515	594947.3631
516	594095.3546
517	593258.2127
518	593232.9801
519	593207.9506
520	592806.8174
521	592640.9746
522	591168.4767
523	590589.7674
524	590343.6401
525	589696.3424
526	589297.6556
527	589267.9405
528	588940.0204
529	588496.4631
530	588170.1022
531	588147.263
532	588125.015
533	587668.6588
534	586710.9761
535	586458.3595
536	586189.5466
537	585929.9012
538	585390.3719
539	585362.1419
540	584870.8337
541	584850.1664
542	584445.7504
543	584275.34
544	583826.4957
545	583050.3196
546	582398.4142
547	582368.5233
548	581980.2101
549	581539.6265
550	580871.1737
551	580678.1626
552	580216.8397
553	580193.1729
554	579466.5153
555	579139.9072
556	578814.4063
557	578476.6157
558	578245.7386
559	577775.8533
560	577536.9301
561	576350.7874
562	576124.1889
563	576104.1788
564	575600.5432
565	574063.5194
566	573333.3597
567	573005.9995
568	572134.6856
569	571483.5271
570	571192.3091
571	570972.1646
572	569753.0418
573	569529.0555
574	569257.4145
575	568900.9815
576	567916.5097
577	567345.9818
578	567025.2268
579	566543.1636
580	566205.8129
581	565967.1517
582	564673.9556
583	564485.3215
584	564296.8427
585	564224.787
586	564207.7493
587	563723.6664
588	563581.235
589	563102.9773
590	562848.629
591	562825.8651
592	562666.334
593	562243.6351
594	562209.9714
595	562188.7647
596	561959.5628
597	561143.9717
598	560685.9601
599	560512.0269
600	560370.163
601	560094.4197
602	559231.7367
603	559219.1476
604	559031.8302
605	558588.574
606	558061.8727
607	557797.597
608	557774.1881
609	557574.2486
610	557552.44
611	557260.3415
612	557109.5413
613	555986.6762
614	555517.2686
615	555490.9652
616	555272.2764
617	554344.8936
618	554224.0399
619	553444.7877
620	553421.8217
621	553021.4666
622	553005.4884
623	552922.3053
624	552512.8103
625	552489.8358
626	552044.5326
627	551694.7191
628	551678.3517
629	551183.1493
630	550976.9544
631	550513.2369
632	550081.5403
633	549447.2754
634	549412.5106
635	549389.2072
636	549216.3751
637	548887.0556
638	548679.847
639	548663.2722
640	548229.9748
641	547999.7227
642	547436.8223
643	547121.658
644	547104.8134
645	546780.9139
646	546169.4327
647	545855.3
648	545843.0043
649	545127.2285
650	544698.935
651	544545.4748
652	544475.2655
653	544442.9033
654	543262.2995
655	543126.2934
656	542962.0321
657	542440.9232
658	542393.8288
659	542242.3643
660	541973.9451
661	541694.8245
662	541457.0206
663	540880.775
664	540643.5046
665	540532.9222
666	540281.6161
667	539769.8572
668	539610.5405
669	539296.8852
670	539115.2878
671	538997.4979
672	538975.6354
673	538251.1234
674	538154.463
675	538134.7053
676	537730.3075
677	536774.3773
678	536649.7944
679	536408.5631
680	536392.5906
681	536235.7138
682	536218.3027
683	535746.7026
684	535557.4113
685	534313.0398
686	534303.4763
687	533863.6327
688	533847.9564
689	533764.469
690	533500.1409
691	533319.1147
692	532518.0375
693	532229.6485
694	531574.4281
695	530929.9063
696	530804.4759
697	530735.5514
698	530334.104
699	530320.1583
700	530022.0522
701	529589.4032
702	529577.729
703	528605.7971
704	528397.2355
705	528320.0027
706	527955.2369
707	527941.9401
708	527587.8655
709	526691.5002
710	525612.9007
711	525347.0997
712	525234.8914
713	524919.708
714	524224.7435
715	523247.1507
716	522355.9247
717	521868.6223
718	521788.0544
719	521594.7872
720	521583.7104
721	521559.2782
722	520887.1583
723	520546.2958
724	519331.4063
725	518750.6659
726	518600.5084
727	518380.4204
728	518286.761
729	517670.334
730	517610.1766
731	517486.2997
732	516893.3627
733	516562.9061
734	516376.7215
735	516366.3238
736	516218.6555
737	515852.7495
738	515526.051
739	515436.4361
740	515161.024
741	514937.8127
742	514925.5128
743	514785.3319
744	514615.6213
745	514377.0387
746	513532.1762
747	512496.4838
748	512164.8702
749	511580.5061
750	511182.1183
751	511165.7821
752	510147.7401
753	509640.7182
754	509109.4704
755	508444.5771
756	507999.6492
757	507596.4456
758	507194.9279
759	506990.8556
760	506841.1909
761	506286.5506
762	505472.8389
763	505257.1162
764	505159.3749
765	505011.9917
766	504909.0704
767	504368.8953
768	504201.2651
769	504024.1835
770	503776.9047
771	503289.1418
772	503122.2269
773	503112.2851
774	503100.3614
775	502756.6219
776	502698.4065
777	502263.3905
778	502234.868
779	502107.7383
780	501512.3881
781	501190.5769
782	500622.644
783	500291.5445
784	500214.4565
785	500057.721
786	499943.5078
787	499474.6176
788	499449.9969
789	499145.2337
790	498858.9108
791	498725.5674
792	498579.961
793	498316.2855
794	498041.2065
795	498023.3349
796	497832.1724
797	497599.0345
798	497276.3783
799	497262.0877
800	497143.2861
801	496304.4409
802	495920.8287
803	495634.7702
804	495623.8374
805	495590.459
806	495291.2738
807	495257.8872
808	495246.8086
809	494900.8542
810	493985.6834
811	493778.5739
812	493302.9092
813	493252.3986
814	493224.9303
815	493047.6632
816	492044.934
817	491746.4286
818	491735.4769
819	491061.4479
820	491047.3025
821	490513.1291
822	490342.5441
823	490192.4543
824	489887.9136
825	489622.4913
826	488788.1092
827	488621.096
828	488411.8573
829	488397.3885
830	488177.2355
831	488093.9112
832	487205.2402
833	487005.2314
834	486992.7646
835	486292.8146
836	486053.1049
837	485685.9677
838	485343.9366
839	485289.9021
840	485174.7662
841	485081.0621
842	485066.6766
843	484753.7929
844	484655.7871
845	484647.7924
846	484498.0834
847	483854.5528
848	483580.0117
849	483395.6186
850	483207.6857
851	483116.7118
852	482358.214
853	481710.0311
854	481587.3632
855	481304.4137
856	481066.5174
857	480511.6667
858	480297.6429
859	479682.8606
860	479455.7746
861	479359.6058
862	478980.5849
863	478799.1729
864	478783.113
865	478777.7131
866	478659.787
867	478653.8026
868	478472.142
869	477487.2451
870	477309.8273
871	477274.5287
872	476591.1116
873	476441.4814
874	476408.0122
875	476175.2687
876	475820.3691
877	475805.6246
878	475431.7045
879	475381.6699
880	474930.1114
881	474364.6579
882	474024.6339
883	473869.0321
884	473132.2762
885	472688.5102
886	472679.6829
887	472352.6182
888	472250.9498
889	472027.0264
890	471545.6891
891	471341.0154
892	471226.3377
893	470638.9546
894	470626.0897
895	470538.0408
896	470089.2833
897	469840.6511
898	469737.3246
899	468914.4984
900	468749.7541
901	468574.8639
902	468399.1289
903	467872.7183
904	467820.235
905	467574.1369
906	467566.0044
907	467550.729
908	467533.0195
909	467143.521
910	466862.6341
911	466843.3975
912	466522.1508
913	466163.7775
914	465993.3403
915	465365.2159
916	465082.0435
917	464298.1181
918	463944.7709
919	463426.8659
920	462643.7292
921	462398.2757
922	462380.7964
923	462216.3703
924	462208.3163
925	461639.6585
926	461250.5106
927	461124.6604
928	460758.8187
929	460480.4483
930	460460.2253
931	460177.7359
932	460170.1119
933	459903.9881
934	459544.6921
935	459311.6299
936	459119.9091
937	458555.2012
938	458360.1136
939	458000.2867
940	457594.1609
941	457485.4925
942	456853.9554
943	456714.6949
944	456201.8002
945	455791.056
946	455708.9021
947	455694.9792
948	455408.2842
949	455217.4967
950	455030.5491
951	454844.6166
952	454645.8206
953	454318.8657
954	454306.0414
955	454192.1791
956	453526.6713
957	453440.013
958	453397.7287
959	453082.8046
960	452409.0012
961	452376.5142
962	452307.2535
963	452194.5465
964	451696.486
965	451575.1646
966	451402.4463
967	451322.9416
968	451105.149
969	451095.3795
970	450519.3366
971	450340.6016
972	450219.2064
973	450200.0138
974	450116.7735
975	449908.1123
976	449900.1264
977	449571.4486
978	449565.7139
979	449406.1412
980	448629.5967
981	448123.1253
982	447997.9278
983	447781.3179
984	447509.4178
985	446812.6078
986	446664.0828
987	446466.2621
988	445955.708
989	445863.7099
990	445808.0625
991	445693.2018
992	445587.5132
993	445512.8974
994	445470.6806
995	445381.6075
996	445084.1584
997	444943.6941
998	444695.2643
999	444500.5529
